## Filter transmission curves for all possible HRC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F220W
# 4	EEERR_F220W
# 5	EE_F250W
# 6	EEERR_F250W
# 7	EE_F330W
# 8	EEERR_F330W
# 9	EE_F334N
# 10	EEERR_F334N
# 11	EE_F435W
# 12	EEERR_F435W
# 13	EE_F475W
# 14	EEERR_F475W
# 15	EE_F502N
# 16	EEERR_F502N
# 17	EE_F550M
# 18	EEERR_F550M
# 19	EE_F555W
# 20	EEERR_F555W
# 21	EE_F606W
# 22	EEERR_F606W
# 23	EE_F625W
# 24	EEERR_F625W
# 25	EE_F658N
# 26	EEERR_F658N
# 27	EE_F660N
# 28	EEERR_F660N
# 29	EE_F775W
# 30	EEERR_F775W
# 31	EE_F814W
# 32	EEERR_F814W
# 33	EE_F850LP
# 34	EEERR_F850LP
# 35	EE_F892N
# 36	EEERR_F892N
##                     F220W            F250W          F330W           F334N           F435W           F475W           F502N           F550M           F555W           F606W           F625W            F658N           F660N            F775W           F814W          F850LP          F892N  
##   pix     asec    ee      std     ee       std   avge    stdev  avge     stdev   avge    stdev   avge    stdev   average stdev   avge    stdev   avge    stdev   avge    stdev   avge     stdev  avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev
  48.000   1.200  96.503   0.184  96.621   0.111  95.783   0.258  95.860   0.310  95.759   0.069  95.578   0.309  95.564   0.094  95.671   0.036  95.995   0.097  95.888   0.160  95.612   0.135  95.165   0.130  94.145   0.105  93.818   0.130  91.534   0.101  84.976   0.109  85.357   0.564
  49.000   1.225  96.612   0.182  96.753   0.112  95.952   0.256  96.039   0.309  95.877   0.069  95.681   0.305  95.677   0.087  95.746   0.038  96.082   0.098  95.970   0.159  95.683   0.134  95.274   0.135  94.208   0.107  93.919   0.128  91.676   0.097  85.232   0.104  85.596   0.558
  50.000   1.250  96.713   0.182  96.873   0.111  96.113   0.255  96.219   0.303  95.995   0.070  95.781   0.302  95.797   0.081  95.823   0.037  96.164   0.099  96.051   0.159  95.758   0.132  95.392   0.148  94.280   0.110  94.015   0.129  91.812   0.095  85.485   0.098  85.821   0.551
  51.000   1.275  96.800   0.179  96.984   0.109  96.268   0.253  96.374   0.292  96.110   0.070  95.883   0.300  95.905   0.079  95.899   0.036  96.243   0.096  96.129   0.159  95.834   0.130  95.494   0.145  94.356   0.110  94.112   0.130  91.943   0.094  85.729   0.094  86.049   0.545
  52.000   1.300  96.887   0.176  97.095   0.110  96.417   0.252  96.522   0.296  96.220   0.070  95.983   0.297  95.992   0.079  95.978   0.039  96.327   0.093  96.205   0.159  95.911   0.127  95.596   0.141  94.453   0.110  94.208   0.133  92.072   0.093  85.969   0.089  86.292   0.539
  53.000   1.325  96.968   0.176  97.191   0.113  96.552   0.253  96.672   0.293  96.326   0.070  96.084   0.294  96.073   0.078  96.059   0.042  96.414   0.092  96.285   0.155  95.985   0.124  95.682   0.148  94.536   0.111  94.303   0.134  92.204   0.092  86.205   0.082  86.518   0.536
  54.000   1.350  97.051   0.175  97.410   0.175  96.684   0.253  96.812   0.288  96.309   0.143  96.186   0.287  96.163   0.079  96.148   0.040  96.502   0.091  96.368   0.151  96.060   0.121  95.752   0.159  94.602   0.113  94.397   0.133  92.331   0.090  86.439   0.076  86.717   0.530
  55.000   1.375  97.128   0.177  97.502   0.180  96.809   0.255  96.949   0.287  96.423   0.141  96.279   0.287  96.260   0.077  96.232   0.039  96.588   0.092  96.444   0.149  96.130   0.120  95.806   0.161  94.664   0.115  94.493   0.131  92.455   0.089  86.670   0.074  86.906   0.527
  56.000   1.400  97.197   0.181  97.584   0.183  96.927   0.254  97.074   0.288  96.535   0.138  96.372   0.285  96.348   0.073  96.309   0.044  96.665   0.092  96.515   0.149  96.203   0.119  95.861   0.162  94.731   0.115  94.590   0.131  92.581   0.087  86.894   0.073  87.089   0.531
  57.000   1.425  97.265   0.183  97.656   0.181  97.042   0.249  97.184   0.293  96.652   0.134  96.469   0.283  96.422   0.073  96.384   0.048  96.735   0.094  96.587   0.149  96.277   0.119  95.920   0.160  94.801   0.119  94.684   0.133  92.707   0.085  87.113   0.071  87.286   0.526
